acousticness,danceability,duration_ms,energy,instrumentalness,keis,liveness,loudness,mode,speechiness,tempo,time_signature,valence,song_title,artist,Hit
0.000696,0.566,250647,0.986,0.0164,1,0.399,-5.016,1,0.0884,127.515,4,0.15,To Encompass and Eclipse,A Trust Unclean,0
1.51E-05,0.455,311217,0.994,0.0012,4,0.0908,-4.584,0,0.193,125.035,4,0.0703,A Darkened Gospel,A Wake in Providence,0
0.0938,0.874,281373,0.704,0,9,0.409,-6.27,1,0.102,119.954,4,0.444,Shabba,A$AP Ferg,0
0.0715,0.869,275867,0.712,0,9,0.272,-6.136,1,0.103,120,4,0.458,Shabba,A$AP Ferg,0
0.152,0.726,178507,0.834,0.683,10,0.0845,-5.564,1,0.0565,130.04,4,0.574,Work,A$AP Ferg,0
0.0247,0.834,285947,0.732,0,1,0.112,-5.121,1,0.138,130.011,4,0.308,Work REMIX,A$AP Ferg,0
0.0246,0.841,283693,0.733,0,1,0.174,-5.077,1,0.142,130.009,4,0.291,Work REMIX,A$AP Ferg,0
0.0651,0.797,173600,0.844,0,11,0.087,-5.482,1,0.275,170.142,4,0.52,Plain Jane,a$ap ferg,1
0.0651,0.797,173600,0.844,0,11,0.087,-5.482,1,0.275,170.142,4,0.52,Plain Jane,a$ap ferg,1
0.0208,0.869,233787,0.687,1.00E-06,1,0.114,-6.816,1,0.263,96.006,4,0.668,F**kin' Problems,A$AP Rocky,0
0.315,0.794,236280,0.82,0,11,0.531,-5.214,1,0.152,140.042,4,0.821,Fashion Killa,A$AP Rocky,0
0.193,0.598,238307,0.252,0.138,2,0.0992,-15.086,1,0.0647,120.06,4,0.0359,L$D,A$AP Rocky,0
0.0173,0.854,237187,0.703,2.40E-06,1,0.109,-7.127,1,0.285,95.957,4,0.681,F**kin Problems,a$ap rocky,1
0.268,0.651,182384,0.773,0,6,0.172,-6.855,0,0.262,129.882,4,0.418,Now You Do,A-1,0
0.173,0.852,254750,0.333,0.0545,0,0.0374,-8.559,1,0.117,95.484,4,0.928,Try Again,aaliyah,1
0.506,0.759,235024,0.456,6.08E-05,5,0.171,-8.022,0,0.0777,109.162,4,0.652,Come Over,aaliyah,1
0.0622,0.417,230693,0.704,0,11,0.185,-6.046,1,0.335,86.804,4,0.793,More Than A Woman,aaliyah,1
0.094,0.684,276907,0.642,0.000188,7,0.194,-10.675,1,0.0523,93.011,4,0.584,Rock The Boat,aaliyah,1
0.709,0.685,240800,0.351,0,10,0.111,-8.999,1,0.0303,109.771,4,0.511,Miss You,aaliyah,1
0.0229,0.385,222400,0.663,0,2,0.0841,-5.902,1,0.0271,156.066,3,0.237,You Redeem - Studio Version,Aaron Shust,0
0.00233,0.672,295035,0.785,0.127,8,0.111,-4.473,1,0.0346,122.999,4,0.352,Counting Down The Days - Yotto Edit,Above & Beyond,0
0.00115,0.339,219317,0.958,1.56E-05,9,0.651,-2.909,0,0.153,128.806,4,0.273,Inferno,"Above, Below",0
0.0159,0.588,269267,0.596,0,1,0.0898,-4.994,1,0.0556,130.346,4,0.0602,Bugatti,Ace Hood,0
0.0339,0.422,259301,0.851,0,11,0.152,-4.031,1,0.0398,93.649,4,0.667,Easy Rider,Action Bronson,0
0.444,0.654,165432,0.794,0,1,0.127,-4.307,1,0.322,96.973,4,0.464,Strictly 4 My Jeeps,Action Bronson,0
0.638,0.71,186627,0.498,0,4,0.0916,-5.478,1,0.0322,136.093,4,0.52,Just a Phase,Adam Craig,0
0.00706,0.44,227320,0.683,0,11,0.0593,-4.732,0,0.0489,185.948,4,0.445,Whataya Want From Me,adam lambert,1
0.00532,0.26,282813,0.7,0,2,0.357,-3.58,1,0.0312,147.872,4,0.202,Time For Miracles,adam lambert,1
0.277,0.673,202400,0.792,2.69E-06,7,0.15,-3.601,1,0.026,101.047,4,0.395,Man In The Mirror,adam levine,1
0.00769,0.381,248605,0.923,0,4,0.0989,-2.205,1,0.0716,76.635,4,0.31,Skyfall,adele,1
0.329,0.471,295502,0.431,0,5,0.0854,-6.129,0,0.0342,157.98,4,0.289,Hello,adele,1
0.637,0.618,221427,0.753,0,7,0.0905,-5.05,0,0.0451,120.041,4,0.557,Rumour Has It,adele,1
0.953,0.524,223262,0.239,0.915,9,0.099,-18.228,1,0.0512,82.02,4,0.255,Send My Love (To Your New Lover),adele,1
0.0189,0.596,240427,0.838,1.54E-05,5,0.108,-6.52,0,0.0704,94.982,4,0.472,Water Under The Bridge,adele,1
0.892,0.559,285040,0.33,0,9,0.0975,-8.251,1,0.0285,135.109,4,0.285,Someone Like You,adele,1
0.00382,0.61,241693,0.683,1.79E-06,2,0.125,-3.879,0,0.0253,108.003,4,0.466,Set Fire To The Rain,adele,1
0.131,0.729,228293,0.756,0,8,0.0527,-5.119,1,0.0294,104.945,4,0.522,Rolling In The Deep,adele,1
0.000891,0.806,297907,0.772,0.864,6,0.101,-14.369,1,0.0856,125.325,4,0.436,No Way Back,Adonis,0
0.059,0.624,187838,0.732,0.0142,4,0.254,-6.372,0,0.0273,132.025,4,0.292,All Aloud,Adrian Lux,0
0.00338,0.575,300013,0.913,0.816,7,0.605,-6.081,1,0.0402,128.014,4,0.208,Teenage Crime - Axwell & Henrik B Remode,Adrian Lux,0
0.00259,0.66,254879,0.652,0,8,0.0673,-4.747,1,0.0582,127.977,4,0.167,Crash 2.0 (Adventure Club vs. DallasK),Adventure Club,0
7.53E-05,0.398,200525,0.974,0.0076,1,0.389,-2.823,0,0.16,129.983,4,0.245,Substance Affliction,Advocates,0
0.00278,0.231,200920,0.791,0.00055,4,0.396,-4.297,0,0.0446,87.337,4,0.404,Snow Cats,AFI,0
0.0178,0.69,230792,0.841,0.79,4,0.137,-5.592,0,0.0868,130.052,4,0.533,Rock The House - Radio Edit,Afrojack,0
0.241,0.713,208620,0.81,0,0,0.0936,-3.353,0,0.0918,130.006,4,0.667,Take Over Control - Radio Edit,Afrojack,0
0.09,0.692,183747,0.898,0.941,10,0.478,-5.276,1,0.044,127.993,4,0.331,Turn up the Speakers - Radio Edit,Afrojack,0
0.000294,0.827,352341,0.462,0.543,8,0.0886,-10.673,1,0.0623,123.994,4,0.341,Pleasure Power (DJ Smash Disco Remix),Afrolicious,0
0.00909,0.694,337187,0.716,0.000814,7,0.0772,-7.468,1,0.0513,121.427,4,0.896,Der Kommissar,After The Fire,0
0.282,0.738,202286,0.818,0.000543,2,0.101,-3.652,0,0.0692,139.998,4,0.53,Make You Mine,Aire Atlantica,0
0.35,0.794,187400,0.801,0,0,0.0799,-6.433,1,0.271,147.072,4,0.73,Luke Cage,AJ Tracey,0
0.137,0.673,201160,0.637,0,5,-4.518,0.184,1,0.0429,123.98,4,0.678,Weak,AJR,1
0.131,0.739,312987,0.938,0,0,0.124,-4.446,0,0.0868,130.018,4,0.655,Beautiful,akon,1
0.283,0.816,240747,0.851,0,8,0.543,-4.166,0,0.19,137.968,4,0.568,Right Now (Na Na Na),akon,1
0.0442,0.866,247067,0.46,0,0,0.323,-9.252,1,0.0423,99.98,4,0.29,I Wanna Love You,akon,1
0.24,0.79,293053,0.457,0,2,0.222,-6.231,1,0.0414,125.249,4,0.355,Don't Matter,akon,1
0.0355,0.823,235067,0.567,0,7,0.103,-4.392,1,0.103,89.979,4,0.372,Locked Up,akon,1
0.281,0.94,212360,0.735,0,5,0.11,-5.172,0,0.0503,118.977,4,0.913,Smack That,akon,1
0.626,0.682,224000,0.518,0.43,8,0.0552,-10.089,1,0.227,118.539,4,0.963,Sah,Al Massrieen,0
0.0291,0.589,212627,0.651,3.20E-06,6,0.111,-5.097,1,0.0306,90.011,4,0.161,Faded,Alan Walker,0
0.0316,0.68,211853,0.725,1.81E-05,6,0.112,-3.92,1,0.0611,140.048,4,0.26,Faded - Slushii Remix,Alan Walker,0
0.25,0.295,225933,0.593,0,11,0.236,-7.572,1,0.0555,85.482,4,0.361,Ironic,Alanis Morissette,0
0.218,0.408,230000,0.582,0,11,0.159,-8.305,1,0.0508,114.926,5,0.34,Ironic - 2015 Remastered,Alanis Morissette,0
0.619,0.722,175867,0.28,0.0786,10,0.141,-13.483,0,0.0583,66.711,4,0.466,Tupelo (Pt. 1) - Single Version,Albert King,0
0.245,0.682,228147,0.858,0,9,0.104,-4.711,1,0.0708,94.954,4,0.772,Sé Que Te Duele,Alejandro Fernandez,0
0.157,0.314,175517,0.555,0.000108,9,-9.601,0.067,1,0.37,179.666,4,0.159,"How Far I'll Go - From ""Moana""",Alessia Cara,1
0.0294,0.591,230227,0.741,0,0,0.11,-5.751,1,0.139,97.048,4,0.452,Scars To Your Beautiful,alessia cara,1
0.0867,0.382,200226,0.816,0,0,0.0649,-3.957,1,0.09,119.587,4,0.34,Here,alessia cara,1
0.031,0.51,210013,0.747,0,5,0.233,-4.124,1,0.0651,125.951,4,0.349,Heroes (we could be),Alesso,0
0.0218,0.726,195105,0.931,0.000275,11,0.143,-4.152,0,0.0469,126.976,4,0.796,Mr. Saxobeat,alexandra stan,1
0.331,0.667,303333,0.41,0,4,0.064,-8.323,0,0.138,75.069,4,0.493,A Woman's Worth,alicia keys,1
0.263,0.653,210200,0.609,0.00101,11,0.233,-7.519,0,0.037,95.982,3,0.482,Fallin',alicia keys,1
0.135,0.482,224920,0.706,0.00106,9,0.105,-5.762,1,0.0609,92.494,4,0.144,Girl On Fire,alicia keys,1
0.158,0.496,249013,0.82,0.246,5,0.13,-5.155,1,0.112,110.977,5,0.549,Try Sleeping With A Broken Heart,alicia keys,1
0.589,0.263,366733,0.663,0.00451,9,0.342,-8.264,1,0.19,167.271,4,0.25,You Don't Know My Name,alicia keys,1
0.0272,0.639,253653,0.548,1.54E-05,1,0.119,-5.979,0,0.0312,90.024,4,0.152,No One,alicia keys,1
0.164,0.548,315360,0.658,0.000132,7,0.109,-8.063,1,0.0314,127.892,4,0.276,Like You'll Never See Me Again,alicia keys,1
0.603,0.609,228707,0.445,6.77E-06,7,0.104,-9.129,1,0.106,118.393,3,0.166,If I Ain't Got You,alicia keys,1
0.0743,0.727,256000,0.736,0.00311,10,0.0347,-6.203,1,0.0615,85.1,4,0.687,Karma,alicia keys,1
0.559,0.664,284160,0.465,0.00174,8,0.125,-9.711,0,0.0317,127.932,4,0.281,Diary,alicia keys,1
0.00636,0.63,200047,0.693,0,10,0.23,-8.809,1,0.0544,129.002,4,0.743,Chinese Food,alison gold,1
0.00692,0.564,212986,0.846,0.00175,4,0.0452,-5.897,0,0.0437,122.035,4,0.695,Catamaran,Allah-Las,0
0.0377,0.575,215973,0.691,0.563,5,0.0657,-7.595,0,0.0301,131.588,4,0.718,Ferus Gallery,Allah-Las,0
0.00593,0.609,207301,0.641,0.585,8,0.105,-5.309,1,0.0266,84.957,4,0.0844,Bitch,Allie X,0
0.0327,0.542,255840,0.769,0,11,0.2,-7.205,0,0.0431,86.052,4,0.49,The Man,aloe blacc,1
0.135,0.72,188852,0.643,0.812,9,0.112,-7.691,1,0.0369,122.012,4,0.323,Fuego,Alok,0
0.586,0.789,192846,0.442,0.00366,11,-7.844,0.0927,1,0.0421,121.971,4,0.45,Hear Me Now,Alok,1
8.12E-05,0.173,267600,0.927,0.23,1,0.229,-5.22,1,0.0869,99.131,4,0.183,Ruin,Altered Perceptions,0
0.785,0.6,299711,0.413,0.0289,7,0.109,-9.572,1,0.0258,93.618,4,0.0768,Hunger Of The Pine,alt-J,0
0.858,0.741,227627,0.449,0.000522,5,0.133,-6.621,1,0.0583,95.108,4,0.444,Outlines,AlunaGeorge,0
0.455,0.847,191541,0.654,0.0622,5,0.0674,-6.443,0,0.113,119.998,4,0.624,You Know You Like It - Bondax Remix,AlunaGeorge,0
0.783,0.596,196627,0.639,0.569,0,0.331,-6.546,1,0.03,124.012,4,0.197,Sabali,Amadou & Mariam,0
0.506,0.638,218760,0.54,0,0,0.157,-6.849,1,0.0473,143.772,4,0.352,Angel,amanda perez,1
0.000192,0.623,226227,0.898,0.303,4,0.138,-6.604,0,0.0309,130.993,4,0.786,Sexual (Li Da Di),amber,1
0.0545,0.672,194000,0.901,0.000285,2,0.0792,-2.415,1,0.0353,99.989,4,0.507,Best Day Of My Life,american authors,1
0.176,0.941,209640,0.323,0,10,0.205,-10.307,1,0.506,120.036,4,0.662,Caroline,amine,1
0.029,0.674,202733,0.832,5.56E-06,9,0.0927,-3.593,1,0.0616,102.833,4,0.807,You Know I'm No Good - Ghostface UK Version,Amy Winehouse,0
0.00392,0.683,201987,0.692,0.000441,9,0.105,-7.189,0,0.0396,103.848,4,0.593,1977,Ana Tijoux,0
0.074,0.523,215867,0.722,0.00336,6,0.122,-6.533,1,0.0307,129.424,4,0.496,Jumpin' Jack Flash,Ananda Shankar,0
0.0321,0.753,199263,0.799,0,9,0.323,-6.43,1,0.055,122.033,4,0.595,"Honey, I'm Good.",andy grammer,1
0.766,0.24,151933,0.598,0,7,0.117,-8.435,1,0.037,202.082,3,0.776,It's The Most Wonderful Time Of The Year,Andy Williams,1
0.766,0.24,151933,0.598,0,7,0.117,-8.435,1,0.037,202.082,3,0.776,It's The Most Wonderful Time Of The Year,andy williams,1
0.766,0.24,151933,0.598,0,7,0.117,-8.435,1,0.037,202.082,3,0.776,It's The Most Wonderful Time Of The Year,andy williams,1
4.69E-06,0.566,123547,0.869,0.309,0,0.0503,-7.614,1,0.0335,129.948,4,0.656,Forgiven/Forgotten,Angel Olsen,0
0.0552,0.373,202200,0.63,0,7,0.107,-5.131,1,0.0461,115.942,4,0.357,Shut Up Kiss Me,Angel Olsen,0
0.143,0.628,253267,0.734,0,9,0.037,-4.123,0,0.305,195.839,4,0.631,If I Could Go!,angie martinez,1
0.284,0.672,212288,0.709,0.000608,1,0.083,-7.884,1,0.0232,98.972,4,0.652,Anyone Can Fall In Love,Anita Dobson,0
0.0383,0.882,128560,0.458,0.00201,0,0.0362,-8.751,1,0.0755,129.965,4,0.804,Cups (Pitch Perfect's When I'm Gone),anna kendrick,1
0.112,0.688,186800,0.795,0,5,0.133,-6.161,1,0.047,125.044,4,0.773,Something About the Sunshine,Anna Margaret,0
0.127,0.698,200105,0.882,0,4,0.15,-3.078,0,0.0863,106.083,4,0.462,Ciao Adios,Anne-Marie,0
0.536,0.556,246773,0.346,0,0,0.106,-9.809,0,0.311,123.869,4,0.451,Charlene,anthony hamilton,1
0.949,0.386,567920,0.148,0.792,0,0.0665,-18.921,0,0.0367,94.88,4,0.128,The Peacocks,Anthony Wonsey Trio,0
0.0169,0.374,293851,0.853,2.72E-05,11,0.322,-3.571,0,0.295,200.035,4,0.422,Living Every Dream,Antwon,0
0.27,0.639,307910,0.869,0,11,0.0802,-4.024,1,0.147,169.801,4,0.766,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel Aa,0
0.789,0.764,224987,0.348,0,9,0.0997,-7.98,1,0.0643,119.651,4,0.773,Simple Love Song,Anuhea,0
0.649,0.288,171620,0.394,0.712,7,0.145,-14.352,1,0.0399,151.632,3,0.0733,Here Comes The Night Time II,Arcade Fire,0
0.0438,0.59,453949,0.721,0.0155,11,0.352,-8.32,0,0.0317,111.524,4,0.663,Reflektor,Arcade Fire,0
0.00731,0.567,343784,0.506,0.205,1,0.103,-8.742,1,0.0264,116.392,4,0.354,We Exist,Arcade Fire,0
0.242,0.708,196000,0.441,0.000147,11,0.0899,-12.931,1,0.196,125.191,4,0.717,Tighten Up - Pt. 1,Archie Bell & The Drells,0
0.186,0.548,272394,0.532,0.000263,5,0.217,-7.596,1,0.0323,85.03,4,0.428,Do I Wanna Know?,Arctic Monkeys,0
0.00807,0.451,179947,0.79,0,11,0.0394,-4.261,0,0.0461,127.142,4,0.674,Fake Tales Of San Francisco,Arctic Monkeys,0
0.152,0.494,227928,0.542,0,6,0.101,-6.995,1,0.0277,81.34,4,0.246,"Beauty and the Beast - From ""Beauty and the Beast""",Ariana Grande,0
0.214,0.685,339733,0.607,0,11,0.345,-5.301,1,0.0431,125.011,4,0.463,Honeymoon Avenue,Ariana Grande,0
0.413,0.454,194707,0.521,0,7,0.119,-4.143,1,0.0285,72.28,4,0.231,Tattooed Heart,Ariana Grande,0
0.0408,0.648,226160,0.738,0,6,-5.883,0.292,0,0.247,159.145,4,0.603,Side To Side,Ariana Grande,1
0.0375,0.703,205947,0.696,5.65E-06,0,0.274,-5.482,1,0.0529,121.969,4,0.366,No Tears Left To Cry,Ariana Grande,1
0.0064,0.687,214840,0.702,4.35E-05,7,0.204,-5.324,0,0.0455,129.956,4,0.284,Break Free,ariana grande,1
0.221,0.803,177293,0.464,1.13E-06,1,0.123,-7.684,0,0.0983,108.781,4,0.585,Be Alright,ariana grande,1
0.0176,0.604,193893,0.805,9.85E-06,1,0.133,-5.363,0,0.245,102.75,4,0.613,Problem,ariana grande,1
0.0161,0.635,244440,0.735,1.26E-06,9,0.151,-5.872,1,0.0978,107.979,4,0.377,Into You,ariana grande,1
0.325,0.644,227027,0.879,0,5,0.0742,-3.179,0,0.147,82.518,4,0.83,The Way,ariana grande,1
0.0537,0.662,235947,0.618,0,7,0.355,-5.26,1,0.0455,134.022,3,0.261,Dangerous Woman,ariana grande,1
0.00937,0.472,236133,0.714,0,1,0.0764,-4.389,0,0.0334,98.992,4,0.24,Love Me Harder,ariana grande,1
0.0373,0.65,226160,0.728,0,6,0.328,-5.914,0,0.232,159.167,4,0.619,Side To Side,ariana grande,1
0.0464,0.464,204093,0.63,0,7,0.295,-7.337,1,0.182,132.96,5,0.527,Santa Tell Me,ariana grande,1
0.435,0.622,287427,0.253,0.471,2,0.0941,-14.36,1,0.0331,92.584,4,0.328,Baby,Ariel Pink's Haunted Graffiti,0
0.667,0.371,275013,0.703,0.00186,3,0.0986,-7.358,1,0.0404,120.599,4,0.558,Symphony of the Nymph,Ariel Pink's Haunted Graffiti,0
0.978,0.575,258040,0.0935,0.452,3,0.109,-15.906,1,0.0858,65.23,4,0.289,You Go To My Head,Art Pepper,0
0.263,0.717,262560,0.508,3.76E-06,7,0.062,-6.392,0,0.029,89.473,4,0.681,Happy,ashanti,1
0.433,0.712,209120,0.805,0,4,0.179,-3.142,0,0.0739,94.973,4,0.851,Rock Wit U (Awww Baby),ashanti,1
0.0103,0.669,265707,0.576,0,0,0.04,-6.475,1,0.184,79.042,4,0.456,Baby,ashanti,1
0.358,0.477,227387,0.728,0,0,0.11,-5.71,1,0.0831,89.209,4,0.69,Foolish,ashanti,1
0.0535,0.5,217440,0.802,0,2,0.103,-4.205,1,0.104,174.039,4,0.743,Pieces Of Me,Ashlee Simpson,0
0.0535,0.5,217440,0.802,0,2,0.103,-4.205,1,0.104,174.039,4,0.739,Pieces Of Me,ashlee simpson,1
0.064,0.652,224685,0.744,2.87E-05,7,0.342,-4.098,0,0.0378,123.006,4,0.488,Blue Hawaii,ASTR,0
0.0172,0.496,190582,0.54,0.0367,7,0.13,-7.121,0,0.0324,131.337,5,0.172,Hold On We're Going Home,ASTR,0
0.0027,0.602,215518,0.764,0.0053,10,0.0822,-4.897,0,0.0435,105.997,5,0.468,Operate,ASTR,0
0.0152,0.333,264384,0.789,0,6,0.0639,-5.784,1,0.0782,82.66,4,0.338,R U With Me,ASTR,0
0.000986,0.771,218356,0.857,0.0161,8,0.323,-6.114,0,0.102,108.03,4,0.66,Razor,ASTR,0
0.0086,0.656,224286,0.787,0.0923,8,0.376,-5.01,1,0.043,94.495,4,0.0933,We Fall Down,ASTR,0
0.000482,0.258,282101,0.905,0.000489,10,0.686,-4.897,1,0.136,112.94,4,0.16,Dance of the Witch,At Rest,0
0.0406,0.536,238893,0.922,8.92E-05,2,0.214,-6.247,1,0.0667,121.977,4,0.368,Walkabout (W/ Noah Lennox),Atlas Sound,0
0.613,0.698,230200,0.878,1.61E-05,8,0.518,-0.307,1,0.314,182.126,4,0.816,GodLovesUgly,Atmosphere,0
0.524,0.849,203720,0.531,0,7,0.0693,-5.534,1,0.258,91.927,4,0.771,Yesterday,Atmosphere,0
0.341,0.411,199500,0.684,1.42E-06,11,0.198,-6.889,0,0.383,110.016,4,0.598,Lose My Mind,A-Trak,0
